character_id,canonical_name,japanese_name,romanized_name,official_english_name,origin,residence,debut_episodes_id,debut_manga_id,affiliations,status,age_at_death,height_cm,blood_type,devil_fruit,devil_fruit_type,birthday,liveaction_portrayal,name_meaning
27,Numbers,ナンバーズ,Nanbāzu,Numbers,,,,,,,,,,,,,,
28,Akazaya Nine,赤鞘九人男,Akazaya Kunin Otoko,Akazaya Nine,,,,,,,,,,,,,,
29,WCI 31,WCI（ダブリューシーアイ）31（サーティーワン）,Daburyū-Shī-Ai Sātī-Wan,WCI 31 (VIZ)WCI: 31 (Funimation),,,,,,,,,,,,,,
30,New Giant Pirates,新巨兵海賊団,Shin Kyo Hei Kaizoku-dan,New Giant Pirates,,,,,,,,,,,,,,
31,Nefeltari Family,ネフェルタリ家,Neferutari-ke,Nefeltari Family,,,,,,Extant,,,,,,,,
32,Neptune Family,ネプチューン一族,Nepuchūn Ichizoku,Neptune Family,,,,,,Extant,,,,,,,,
33,Kyoshiro Family,狂死郎一家,Kyōshirō Ikka,Kyoshiro Family,,,,,,,,,,,,,,
34,Kozuki Clan,光月家,Kōzuki-ke,Kozuki Clan;Kouzuki Clan (OPCG),,,,,,,,,,,,,,
35,Buggy's Band of Pirates,バギー海賊団,Bagī Kaizokudan,Buggy's Band of Pirates,,,,,,Integrated into Buggy's Delivery,,,,,,,,
36,Mimawari-gumi,見廻組,Mimawari-gumi,Mimawari-gumi,,,,,,,,,,,,,,
37,Monban,門番,Monban,,East Blue (Syrup Village) (Right Guard),,9.0,24.0,Tessle Company,Alive,,,,,,July 1st (Right Guard),,
38,Kid Pirates,キッド海賊団,Kiddo Kaizokudan,Kid Pirates,,,,,,Unknown,,,,,,,,
39,Herculean Destroyers,怪力デストロイヤーズ,Kairiki Desutoroiyāzu,Herculean Destroyers,,Water 7,233.0,329.0,Franky Family,Alive,,,,,,,,
40,Eleven Righteous Jurors,公正なる11人の陪審員,Kōsei-naru Jūichinin no Baishin'in,Eleven Righteous Jurors,,,,,,,,,,,,,,
41,Koala Gang,雇われ暴力団コアラ組,Yatoware Bōryokudan Koara-gumi,Koala Gang,,,106.0,169.0,Rain Dinners,Alive,,,,,,,,
42,100 Doctors,イッシー100（ワンハンドレッド）,Isshī Wanhandoreddo,100 Doctors (Viz)100 MDs (FUNimation),,,,,,,,,,,,,,
43,Atamayama Thieves Brigade,頭山盗賊団,Atama-yama Tōzoku-dan,Atamayama Thieves Brigade,,,,,,,,,,,,,,
44,Musketeers,犬嵐銃士隊,Inuarashi Jūshi-tai,Musketeers,,,,,,,,,,,,,,
45,Ideo Pirate Crew,イデオ海賊団,Ideo Kaizokudan,Ideo Pirate Crew,,,,,,,,,,,,,,
46,Happosui Army,八宝水軍,Happō Suigun,Happosui Army (Viz),,,,,,,,,,,,,,
47,Heart Pirates,ハートの海賊団,Hāto no Kaizokudan,Heart Pirates,,,,,,,,,,,,,,
48,Four Emperors,四皇,Yonkō,Four Emperors,,,,,,,,,,,,,,
49,Five Elders,五老星,Gorōsei,"Five Elders (VIZ, Funimation);Five Elder Stars (formerly Funimation)",,,,,,,,,,,,,,
50,Qing Jiao Family,チンジャオファミリー,Chinjao Famirī,Qing Jiao Family (Former); Chinjao Family,,,,,,Active,,,,,,,,
51,Beautiful Pirates,美しき海賊団,Utsukushiki Kaizoku-dan,Beautiful Pirates,,,,,,,,,,,,,,
52,Charlotte Family,シャーロット家,Shārotto-ke,Charlotte Family,,,,,,Active,,,,,,,,
53,Barto Club,バルトクラブ,Baruto Kurabu,Barto Club,,,,,,,,,,,,,,
54,Admiral,大将,Taishō,Admiral,,,,,,,,,,,,,,
55,Animal Kingdom Pirates,百獣海賊団,Hyakujū Kaizokudan,"Animal Kingdom Pirates (VIZ Media and Funimation sub);Beast Pirates (Funimation dub, Funimation sub (former))",,,,,,,,,,,,,,
56,Burr,ゾット,Zotto,Burr,,,434.0,533.0,Marines G-1 Branch,Alive,,,,,,,,
57,Zunesha,象主（ズニーシャ）,Zunīsha,Zunesha,Grand Line,New World,751.0,802.0,,Alive,,,,,,December 18th,,
58,Zukka,ズッカ,Zukka,Zukka,,,489.0,564.0,Ally of the Whitebeard Pirates,Alive,,,,,,,,
59,Zodia,ゾディア,Zodia,Zodia,,,462.0,553.0,Whitebeard Pirates,Alive,,,,,,,,
60,Zeus,ゼウス,Zeusu,Zeus,Grand Line,Sorcery Clima-Tact; Totto Land (former),786.0,827.0,Big Mom Pirates (defected); Straw Hat Pirates,Alive,,232.0,,,,June 26th,,
61,Zepo,ゼポ,Zepo,Zepo,,,816.0,850.0,Nox Pirates,Deceased,,,,,,,,
62,Zeo,ゼオ,Zeo,Zeo,Grand Line (Ryugu Kingdom; Fish-Man Island),Fish-Man District (former),530.0,611.0,New Fish-Man Pirates,Alive,,325.0,X,,,November 11th,,
63,Zambai,ザンバイ,Zanbai,Zambai,Grand Line (Water 7),Water 7,230.0,324.0,Franky Family; Galley-La Company,Alive,,227.0,S,,,March 8th,,
64,Zeff,ゼフ,Zefu,Zeff,East Blue,Baratie,20.0,43.0,Baratie; Cook Pirates (former),Alive,,189.0,XF,,,April 2nd,Craig Fairbrass,
65,Zala,Toge Toge no Mi,Zara,Zala,Grand Line,,103.0,155.0,New Spiders Cafe; Baroque Works  (Former),Alive,,187.0,X,Spike-Spike Fruit,Paramecia,July 30th,,Spike
66,Zanki,三鬼（ザンキ）,Zanki,Zanki,,,1055.0,991.0,Beasts Pirates (Numbers),Alive,,,,,,,,
67,Zabo,ザボー,Zabō,Zabo,,,155.0,241.0,,Deceased,,,,,,,,
68,Eureka,ユリカー,Yurikā,Eureka,,,,151.0,Tulip Pirates,Alive,,,,,,,,
69,Yuki,ユキ,Yuki,Yuki,Grand Line,,78.0,129.0,,Unknown,,,,,,December 17th,,
70,Zayde,ゼイディー,Zeidī,Zayde,,,275.0,391.0,Ohara Archaeologists,Deceased,,,,,,,,
71,Yuey,ユーイ,Yūi,Yuey,,,966.0,966.0,Roger Pirates,Unknown,,,,,,,,
72,Yu,ユウ,Yū,Yu,East Blue,Loguetown,48.0,98.0,,Alive,,,,,,July 19th,,
73,Yotsubane,ヨツバネ,Yotsubane,Yotsubane,,,176.0,269.0,Shandia,Alive,,,,,,,,
74,Yoshimoto,ヨシモト,Yoshimoto,Yoshimoto,,,94.0,157.0,,Alive,,,,,,,,
75,Yosaku,ヨサク,Yosaku,Yosaku,East Blue,,20.0,42.0,Johnny; Roronoa Zoro's band (former),Alive,,185.0,F,,,November 10th,,
76,Yorki,ヨーキ,Yōki,Yorki,,,63.0,103.0,Rumbar Pirates,Unknown,,,,,,April 9th,,
77,Yomo,ヨモ,Yomo,Yomo,,,755.0,806.0,Mokomo Dukedom (Inuarashi Musketeer Squad); Ninja-Pirate-Mink-Samurai Alliance,Alive,,,,,,,,
78,York,欲（ヨーク）,Yōku,York,,Egghead,1095.0,1065.0,Marines (SSG)World Government,Alive,,,,,,,,
79,Yazaemon,矢ざえもん,Yazaemon,Yazaemon,Wano Country,"Flower Capital, Wano Country",925.0,931.0,Beasts Pirates; Orochi Oniwabanshu (former),Alive,,180.0,S,,,August 8th,,
80,Yatappe,弥太っぺ,Yatappe,Yatappe,,,946.0,952.0,,Alive,,,,,,,,
81,Yokozuna,ヨコヅナ,Yokozuna,Yokozuna,,Water 7,228.0,322.0,Tom's Workers (former),Alive,,,,,,,,
82,Yasopp,ヤソップ,Yasoppu,Yasopp,East Blue (Gecko Islands),Syrup Village (former),4.0,1.0,Red Hair Pirates,Alive,,183.0,S,,,August 2nd,Stevel Marc,
83,Yōkan,ようかん,Yōkan,,,Wano Country (Bakura Town),902.0,915.0,,Alive,,,,,,,,
84,Yarisugi,ヤリスギ,Yarisugi,Yarisugi,,,599.0,673.0,Marines; G-5,Alive,,220.0,,,,,,
85,Yamenahare,ヤメナハーレ,Yamenahāre,Yamenahare,,Pucci,,436.0,Marumieta,Alive,,,,,,,,
86,Yamon,ヤモン,Yamon,Yamon,,,966.0,,Roger Pirates,Unknown,,,,,,,,
87,O-Yame,お八女,O-Yame,,,Wano Country (Okobore Town),904.0,917.0,,Alive,,,,,,,,
88,Yamato,"Inu Inu no Mi, Model: Okuchi no Makami",Yamato,Yamato,,Wano Country (Onigashima),972.0,971.0,Ninja-Pirate-Mink-Samurai Alliance (disbanded); Beasts Pirates (defected),Alive,,263.0,F,Dog-Dog Fruit,Mythical Zoan,November 3rd,,Dog; Large-Mouthed True/Pure God
89,Yama,ヤマ,Yama,Yama,Sky Islands (Birka),,167.0,254.0,Enel (former),Unknown,,366.0,F,,,October 3rd,,
90,Woop Slap,ウープ・スラップ,Ūpu Surappu,Woop Slap,East Blue (Goa Kingdom),Foosha Village,4.0,1.0,Foosha Village,Alive,,,,,,February 28th,,
91,Yamakaji,ヤマカジ,Yamakaji,Yamakaji,,,302.0,420.0,Marines,Alive,,,,,,April 5th,,
92,Wire,ワイヤー,Waiyā,Wire,South Blue,,394.0,500.0,Kid Pirates,Unknown,,,,,,July 18th,,
93,X. Drake,"Ryu Ryu no Mi, Model: Allosaurus",Diesu Dorēku,X. Drake,North Blue,,392.0,498.0,"Marines;Drake Pirates;Beasts Pirates (Tobiroppo, former);Barrels Pirates (defected);Ninja-Pirate-Mink-Samurai Alliance (disbanded)",Unknown,,233.0,X,Dragon-Dragon Fruit,Ancient Zoan,October 24th,,"Dragon, Allosaurus"
94,Wyper,ワイパー,Waipā,"Wyper (4Kids, Viz, FUNimation);Wyler (4Kids; FUNimation edited dub)",Sky Islands (Skypiea),,153.0,237.0,Shandia; God's Guards,Alive,,183.0,X,,,August 18th,,
95,Wicca,ウィッカ,Wikka,WickaWicca (WT100),,,635.0,705.0,Tontatta Tribe Scouting UnitStraw Hat Grand Fleet,Alive,,,,,,,,
96,Wellington,ウェリントン,Werinton,Wellington,,,702.0,763.0,,Unknown,,,,,,,,
97,Warashi,ワラシ,Warashi,Warashi,,,176.0,269.0,Shandia,Alive,,,,,,,,
98,Who's-Who,"Neko Neko no Mi, Model: Saber Tiger",Fūzu Fū,Who's-Who,North Blue,Onigashima,954.0,977.0,Beasts Pirates (Tobiroppo); Who's-Who Pirates (former); CP9 (former);,Alive,,336.0,F,Cat-Cat Fruit,Ancient Zoan,March 15th,,Cat
99,Waruno Furishirō,割（ワル）野フリ四郎,Waruno Furishirō,,,Wano Country (Flower Capital),918.0,926.0,,Alive,,,,,,,,
100,Whitey Bay,ホワイティベイ,Howaitibei,Whitey Bay,,,462.0,556.0,Whitebeard Pirates,Alive,,,,,,October 31st,,
101,Wanze,ワンゼ,Wanze,Wanze,West Blue,,257.0,367.0,CP7,Alive,,173.0,F,,,September 4th,,
102,Wapol,Baku Baku no Mi,Waporu,Wapol,Grand Line (Drum Kingdom),Black Drum KingdomDrum Kingdom (former),79.0,131.0,Evil Black Drum Kingdom; Drum Kingdom (former); Bliking Pirates (disbanded),Alive,,207.0,X,Munch-Munch Fruit,Paramecia,August 9th,,Sound of Chomping
103,Wheel,ホイール,Hoīru,Wheel,,South Fire Kingdom,884.0,906.0,Levely,Alive,,,,,,,,
104,Wanyudo,輪入道,Wanyūdō,Wanyudo,,,1021.0,1005.0,Beasts Pirates,Alive,,,,Pug SMILE,Artificial Zoan,,,
105,Wanda,ワンダ,Wanda,Wanda,Grand Line (Mokomo Dukedom),Zou,753.0,804.0,Mokomo Dukedom; Inuarashi Musketeer Squad; Ninja-Pirate-Mink-Samurai Alliance(disbanded),Alive,,181.0,F,,,November 1st,,
106,Warney,ワーニー,Wānī,Warney,,,753.0,804.0,Wanda,Alive,,,,,,,,
107,Wallem,ウォレム,Woremu,Wallem,,,470.0,561.0,Ally of the Whitebeard Pirates,Alive,,,,,,,,
108,Wallace,ウォレス,Woresu,Wallace,,,461.0,552.0,Spade Pirates,Alive,,,,,,,,
109,Wakasa,わかさ,Wakasa,,,Wano Country (Bakura Town),901.0,915.0,,Alive,,,,,,,,
110,Wadatsumi,ワダツミ,Wadatsumi,Wadatsumi,Grand Line (Ryugu Kingdom),,525.0,606.0,Sun Pirates; Flying Pirates (former),Alive,,,F,,,February 9th (Pufferfish Day),,
111,Scientist,科学者,Kagakusha,Scientist,,,,,,,,,,,,,,
112,Vito,ヴィト,Vito,Vito,West Blue,,763.0,812.0,Fire Tank Pirates,Alive,,242.0,S,,,October 21st,,
113,Vitan,ヴィタン,Vitan,Vitan,,,,553.0,Whitebeard Pirates,Alive,,,,,,,,
114,Viola,Giro Giro no Mi,Viora,Viola,Grand Line (Dressrosa),,632.0,703.0,Riku Family; Donquixote Pirates(defected),Alive,,178.0,X,Glare-Glare Fruit,Paramecia,April 30th,,Glare; Stare
115,Vista,ビスタ,Bisuta,Vista,North Blue,,,552.0,Whitebeard Pirates (former),Alive,,328.0,X,,,February 5th,,
116,Vinsmoke Yonji,ヴィンスモーク・ヨンジ,Vinsumōku Yonji,Vinsmoke Yonji,North Blue (Germa Kingdom),,783.0,825.0,Vinsmoke Family; Germa Kingdom; Germa 66,Alive,,194.0,S (RH-),,,March 2nd,,
117,Vinsmoke Reiju,ヴィンスモーク・レイジュ,Vinsumōku Reiju,Vinsmoke Reiju,North Blue (Germa Kingdom),,784.0,826.0,Vinsmoke Family; Germa Kingdom; Germa 66,Alive,,173.0,F,,,November 30th,,
118,Vinsmoke Sora,ヴィンスモーク・ソラ,Vinsumōku Sora,Vinsmoke Sora,,,803.0,841.0,Vinsmoke Family; Germa Kingdom,Deceased,,,,,,July 9th,,
119,Vinsmoke Niji,ヴィンスモーク・ニジ,Vinsumōku Niji,Vinsmoke Niji,North Blue (Germa Kingdom),,787.0,828.0,Vinsmoke Family; Germa Kingdom; Germa 66,Alive,,185.0,S (RH-),,,March 2nd,,
120,Victoria Broth Splatterina,ヴィクトリア・シルトン・ドルヤナイカ,Vikutoria Shiruton Doruyanaika,Victoria Broth Splatterina,,Unnamed South Blue island,,,,Deceased,,,,,,,,
121,Vinsmoke Ichiji,ヴィンスモーク・イチジ,Vinsumōku Ichiji,Vinsmoke Ichiji,North Blue (Germa Kingdom),,787.0,828.0,Vinsmoke Family; Germa Kingdom; Germa 66,Alive,,186.0,S (RH-),,,March 2nd,,
122,Victoria Cindry,ビクトリア･シンドリー,Bikutoria Shindorī,Victoria Cindry,West Blue,,340.0,446.0,Thriller Bark Pirates; Dr. Hogback,Deceased,24.0,188.0,F,,,May 4th,,
123,Vinsmoke Judge,ヴィンスモーク・ジャッジ,Vinsumōku Jajji,Vinsmoke Judge,North Blue (Germa Kingdom),,793.0,832.0,Vinsmoke Family; Germa Kingdom; Germa 66; NEO MADS; MADS (former),Alive,,272.0,S,,,May 12th,,
124,Berry Good,Beri Beri no Mi,Berīguddo,Berry Good,,,309.0,426.0,Marines,Alive,,,,Berry-Berry Fruit,Paramecia,September 10th,,Berry
125,Vasco Shot,Gabu Gabu no Mi,Basuko Shotto,Vasco Shot,South Blue,,484.0,575.0,Blackbeard Pirates; Impel Down (former),Alive,,573.0,X,Glug-Glug Fruit,Paramecia,August 5th,,Gulping down a drink
126,Dr. Vegapunk,Nomi Nomi no Mi,Dokutā Begapanku,Dr. Vegapunk,Grand Line (Karakuri Island),Egghead; Punk Hazard (former); Karakuri Island (former),610.0,684.0,MADS (former); Marines (former) (SSG),Deceased,,,,Brain-Brain Fruit,Paramecia,August 9th,,Brain
127,Vander Decken,バンダー・デッケン,Bandā Dekken,Vander Decken,,,525.0,606.0,Flying Dutchman,Deceased,,,,,,,,
128,Vander Decken IX,Mato Mato no Mi,Bandā Dekken Kyūsei,Vander Decken IX,Grand Line (Ryugu Kingdom;Fish-Man Island),Flying Dutchman (former),525.0,606.0,Flying Pirates; Ally of the New Fish-Man Pirates (former),Alive,,352.0,XF,Mark-Mark Fruit,Paramecia,August 22nd,,Target
129,Uzuki Tempura,雨月天ぷら,Uzuki Tenpura,Uzuki Tempura,,,1048.0,1024.0,,Deceased,,,,,,,,
130,Uzu,ウズ,Uzu,Uzu,,,583.0,658.0,,Alive,,,,,,,,
131,Van Augur,Wapu Wapu no Mi,Van Ōgā,"Van Augur (VIZ)Van Ogre (Formerly VIZ, Edited Funimation)Van Auger (Uncut Funimation)",East Blue,,146.0,222.0,Blackbeard Pirates,Alive,,340.0,X,Warp-Warp Fruit,Paramecia,October 5th,,Warp
132,Vergo,ヴェルゴ,Verugo,Vergo,North Blue,Downs (former)G-5 (former),597.0,671.0,Donquixote Pirates; Marines (undercover); Marine G-5 (undercover),Deceased,41.0,247.0,X,,,July 5th,,
133,Uwattsurā,ウワッツラー,Uwattsurā,,,,932.0,936.0,Beasts Pirates,Alive,,,,,,,,
134,Uta,Uta Uta no Mi,Uta,Uta,,Elegia (former),1029.0,1055.0,Red Hair Pirates (former),Unknown,,169.0,XF,Sing-Sing Fruit,Paramecia,October 1st,,Song
135,Bunkov,ウサッコフ,Usakkofu,Bunkov,,,438.0,537.0,Newkama Land (former),Alive,,,,,,,,
136,Usopp,ウソップ,Usoppu,Usopp,East Blue (Gecko Islands),"Syrup Village (former);Boin Archipelago (former, temporary)",8.0,23.0,Straw Hat Pirates;Straw Hat Grand Fleet;Usopp Pirates (disbanded);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Alive,,174.0,S,,,April 1st (April Fool's Day),Jacob Romero Gibson;Kevin Saula (young),
137,Usagihebi,うさぎヘビ,Usagihebi,,,,18.0,22.0,Animals of the Island of Rare Animals,Alive,,,,,,,,
138,Urouge,ウルージ,Urūji,Urouge,Sky Island,Ballon Terminal,392.0,498.0,Fallen Monk Pirates,Alive,,388.0,S,,,August 1st,,
139,Urban,ウルバン,Uruban,Urban,,,,1089.0,Marines,Alive,,,,,,,,
140,Ushiano,ウシアーノ,Ushiāno,Ushiano,,Baltigo (former); Momoiro Island,883.0,905.0,Revolutionary Army,Alive,,,,,,,,
141,Unigaro,ユニガロ,Yunigaro,Unigaro,,,340.0,445.0,Thriller Bark Pirates,Deceased,,,,,,,,
142,Urashima,浦島,Urashima,Urashima,,"Flower Capital, Wano Country",899.0,913.0,,Alive,,,,,,,,
143,Uni,ウニ,Uni,Uni,,,757.0,810.0,Heart Pirates,Unknown,,,,,,,,
144,Yurusumaji Mask,ユルスマジマスク,Yurusumaji Masuku,Yurusumaji Mask,,,,,Easter egg,Alive,,,,,,,,
145,Umit,ウミット,Umitto,Umit,,,828.0,860.0,Underworld,Alive,,,,,,September 23rd,,
146,Ultra King,ウルトラキング,Urutorakingu,Ultra King,,,106.0,169.0,Rain Dinners,Alive,,,,,,,,
147,Ulti,"Ryu Ryu no Mi, Model: Pachycephalosaurus",Uruti,Ulti,Grand Line,,982.0,977.0,Beasts Pirates (Tobiroppo),Alive,,173.0,XF,Dragon-Dragon Fruit,Ancient Zoan,January 4th,,"Dragon, Dinosaur"
148,Ukon,右近,Ukon,,,Wano Country (Flower Capital),918.0,926.0,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,Alive,,,,,,,,
149,Carelesso,ウッカリー,Ukkarī,Carelesso (WT100);Ukkari (Live-Action),East Blue,Shells Town,2.0,4.0,Marines (Marine 153rd Branch),Alive,,,,,,February 17th,Richard Wright-Firth,
150,Ooklicia,ウホリシア,Uhorishia,Ooklicia,,,710.0,877.0,Niho Navy,Alive,,,,,,,,
151,Ook-Ook,ウッホーくん,Uhhō-kun,Ook-Ook,,Dressrosa,677.0,743.0,,Alive,,,,,,,,
152,Moocy,ウーシー,Ūshī,"Moocy (VIZ Media, FUNimation dub);Usy (FUNimation simulcast);Bullcy (FUNimation subs)",,,639.0,706.0,Corrida Colosseum,Alive,,,,,,April 21st,,
153,UK,UK（ユーケー）,Yū Kē,UK,,,1054.0,1029.0,Kid Pirates,Unknown,,,,,,,,
154,Tyrannosaurus,ティラノサウルス,Tiranosaurusu,Tyrannosaurus,,Water 7,230.0,323.0,Iceburg,Alive,,,,,,October 20th,,
155,Turk,トルコ,Toruko,Turk,East Blue,,517.0,598.0,Fake Straw Hat Crew,Unknown,,258.0,X,,,October 29th,,
156,Ubau,ウバウ,Ubau,,Skypiea,,189.0,292.0,,Deceased,,,,,,,,
157,Otsuru,鶴女,Tsurujo,Otsuru,,"Okobore Town, Kuri, Wano Country",897.0,912.0,,Alive,,191.0,F,,,September 15th,,
158,Tsuru,Woshu Woshu no Mi,Tsuru,Tsuru,North Blue,,151.0,234.0,Marines,Alive,,204.0,X,Wash-Wash Fruit,Paramecia,March 26th,,Wash
159,Antlerkov,ツノッコフ,Tsunokkofu,Antlerkov,,,438.0,537.0,Newkama Land (former),Alive,,,,,,,,
160,Tsurue Monnosuke,鶴江もんの助,Tsurue Monnosuke,,,Wano Country (Flower Capital),928.0,933.0,,Alive,,,,,,,,
161,Tsunagoro,綱ゴロー,Tsunagorō,Tsunagoro,,,946.0,947.0,,Alive,,,,,,,,
162,Tsukimi,ツキミ,Tsukimi,Tsukimi,,,,448.0,Moon,Deceased,,,,,,August 15th,,
163,Toritobū,トリトブー,Toritobū,,,Nagagutsu Kingdom,884.0,906.0,Levely,Alive,,,,,,,,
164,Tristan,トリスタン,Torisutan,Tristan,,Zou,739.0,795.0,Mokomo Dukedom; Ninja-Pirate-Mink-Samurai Alliance,Alive,,,,,,,,
165,Trebol,Beta Beta no Mi,Torēboru,Trebol,North Blue,Downs (former)Spider Miles (former)Dressrosa (former),629.0,700.0,Donquixote Pirates,Alive,,349.0,F,Stick-Stick Fruit,Paramecia,March 18th,,Sticky
166,Trafalgar Lammy,トラファルガー・ラミ,Torafarugā Rami,Trafalgar Lammy,,Flevance,701.0,762.0,,Deceased,,,,,,,,
167,Tōyama Tsujigirō,遠山辻ギロー,Tōyama Tsujigirō,,,Wano Country (Flower Capital),892.0,909.0,,Unknown,,,,,,,,
168,Tsugaru Umi,津軽うみ,Tsugaru Umi,,,Wano Country (Flower Capital),892.0,909.0,Nico Robin,Alive,,,,,,,,
169,Trafalgar D. Water Law,Ope Ope no Mi,Torafarugā Dī Wāteru Rō,Trafalgar D. Water Law,North Blue,Flevance (former);Spider Miles (former);Swallow Island (former),392.0,498.0,Heart Pirates;Ninja-Pirate-Mink-Samurai Alliance (disbanded);Seven Warlords of the Sea (revoked);Donquixote Pirates (defected),Alive,,191.0,F,Op-Op Fruit,Paramecia,October 6th,,Operation
170,Toto,トト,Toto,"Toto (FUNimation),Toh-Toh (Viz),Tu-tu (4Kids)",,"Yuba, Arabasta",100.0,163.0,Koza,Alive,,,,,,June 17th,,
171,Tosa,土茶（トサ）,Tosa,Tosa,,,,1089.0,Marines,Alive,,,,,,,,
172,Tori,トリ,Tori,,,,917.0,925.0,Blackbeard Pirates,Alive,,,,,,,,
173,St. Topman Warcury,トップマン・ウォーキュリー聖,Toppuman Wōkyurī Sei,St. Topman Warcury,,Mary Geoise,151.0,233.0,Five Elders; World Nobles,Alive,,,,,,,,
174,Tonjit,トンジット,Tonjitto,Tonjit,Grand Line (Long Ring Long Land),,207.0,304.0,Nomads,Alive,,118.0,F,,,October 2nd,,
