card_faction_id,card_id,faction_name
67,OP02-018-5,Whitebeard Pirates
68,OP02-018-0,Whitebeard Pirates
69,OP02-089-1,Impel Down
70,OP02-089-2,Impel Down
71,OP02-089-3,Impel Down
72,OP02-089-0,Impel Down
73,OP02-096-4,Navy
74,OP02-096-0,Navy
75,OP02-099-5,Navy
76,OP02-099-0,Navy
77,OP02-106-4,Navy
78,OP02-106-5,Navy
79,OP02-106-0,Navy
80,OP02-114-4,Navy
81,OP02-114-0,Navy
82,OP02-117-4,Navy
83,OP02-117-5,Navy
84,OP02-117-0,Navy
85,OP02-121-2,Former Navy
86,OP02-121-0,Former Navy
87,OP03-003-3,Land of Wano
88,OP03-003-3,Whitebeard Pirates
89,OP03-003-4,Land of Wano
90,OP03-003-4,Whitebeard Pirates
91,OP03-003-5,Land of Wano
92,OP03-003-5,Whitebeard Pirates
93,OP03-003-0,Land of Wano
94,OP03-003-0,Whitebeard Pirates
95,OP03-055-2,East Blue
96,OP03-055-2,Straw Hat Crew
97,OP03-055-3,East Blue
98,OP03-055-3,Straw Hat Crew
99,OP03-055-0,East Blue
100,OP03-055-0,Straw Hat Crew
101,OP03-056-1,East Blue
102,OP03-056-2,East Blue
103,OP03-056-3,East Blue
104,OP03-056-0,East Blue
105,OP03-057-1,East Blue
106,OP03-057-1,Straw Hat Crew
107,OP03-057-2,East Blue
108,OP03-057-2,Straw Hat Crew
109,OP03-057-3,East Blue
110,OP03-057-3,Straw Hat Crew
111,OP03-057-0,East Blue
112,OP03-057-0,Straw Hat Crew
113,OP03-060-1,Water Seven
114,OP03-060-1,Galley-La Company
115,OP03-060-2,Water Seven
116,OP03-060-2,Galley-La Company
117,OP03-060-0,Water Seven
118,OP03-060-0,Galley-La Company
119,OP03-079-2,Navy
120,OP03-079-2,Donquixote Pirates
121,OP03-079-3,Navy
122,OP03-079-3,Donquixote Pirates
123,OP03-079-0,Navy
124,OP03-079-0,Donquixote Pirates
125,OP03-089-3,Navy
126,OP03-089-4,Navy
127,OP03-089-5,Navy
128,OP03-089-0,Navy
129,OP03-094-1,CP9
130,OP03-094-2,CP9
131,OP03-094-0,CP9
132,OP03-108-2,Big Mom Pirates
133,OP03-108-0,Big Mom Pirates
134,OP03-110-2,Big Mom Pirates
135,OP03-110-3,Big Mom Pirates
136,OP03-110-4,Big Mom Pirates
137,OP03-110-0,Big Mom Pirates
138,OP03-113-2,Big Mom Pirates
139,OP03-113-0,Big Mom Pirates
140,OP03-116-2,Merfolk
141,OP03-116-3,Merfolk
142,OP03-116-0,Merfolk
143,OP03-121-4,The Four Emperors
144,OP03-121-4,Big Mom Pirates
145,OP03-121-5,The Four Emperors
146,OP03-121-5,Big Mom Pirates
147,OP03-121-0,The Four Emperors
148,OP03-121-0,Big Mom Pirates
149,OP03-122-0,Sniper Island
150,OP03-123-3,Big Mom Pirates
151,OP03-123-0,Big Mom Pirates
152,OP04-029-1,Donquixote Pirates
153,OP04-029-2,Donquixote Pirates
154,OP04-029-0,Donquixote Pirates
155,OP04-031-2,The Seven Warlords of the Sea
156,OP04-031-2,Donquixote Pirates
157,OP04-031-0,The Seven Warlords of the Sea
158,OP04-031-0,Donquixote Pirates
159,OP04-032-1,Donquixote Pirates
160,OP04-032-2,Donquixote Pirates
161,OP04-032-0,Donquixote Pirates
162,OP04-036-1,Donquixote Pirates
163,OP04-036-2,Donquixote Pirates
164,OP04-036-0,Donquixote Pirates
165,OP04-044-3,The Four Emperors
166,OP04-044-3,Animal Kingdom Pirates
167,OP04-044-0,The Four Emperors
168,OP04-044-0,Animal Kingdom Pirates
169,OP04-056-1,Straw Hat Crew
170,OP04-056-2,Straw Hat Crew
171,OP04-056-3,Straw Hat Crew
172,OP04-056-0,Straw Hat Crew
173,OP04-083-0,Dressrosa
174,OP04-083-0,Revolutionary Army
175,OP04-089-1,Dressrosa
176,OP04-089-1,Barto Club
177,OP04-089-2,Dressrosa
178,OP04-089-2,Barto Club
179,OP04-089-3,Dressrosa
180,OP04-089-3,Barto Club
181,OP04-089-0,Dressrosa
182,OP04-089-0,Barto Club
183,OP04-095-2,Dressrosa
184,OP04-095-2,Barto Club
185,OP04-095-3,Dressrosa
186,OP04-095-3,Barto Club
187,OP04-095-0,Dressrosa
188,OP04-095-0,Barto Club
189,OP04-100-3,Firetank Pirates
190,OP04-100-4,Firetank Pirates
191,OP04-100-5,Firetank Pirates
192,OP04-100-0,Firetank Pirates
193,OP04-104-2,The Vinsmoke Family
194,OP04-104-0,The Vinsmoke Family
195,OP04-112-3,Land of Wano
196,OP04-112-0,Land of Wano
197,OP05-006-2,Revolutionary Army
198,OP05-006-0,Revolutionary Army
199,OP05-007-2,Revolutionary Army
200,OP05-007-0,Revolutionary Army
201,OP05-010-1,Straw Hat Crew
202,OP05-010-2,Straw Hat Crew
203,OP05-010-0,Straw Hat Crew
204,OP05-015-2,Revolutionary Army
205,OP05-015-3,Revolutionary Army
206,OP05-015-4,Revolutionary Army
207,OP05-015-0,Revolutionary Army
208,OP05-034-2,Donquixote Pirates
209,OP05-034-3,Donquixote Pirates
210,OP05-034-4,Donquixote Pirates
211,OP05-034-0,Donquixote Pirates
212,OP05-043-2,Animal Kingdom Pirates
213,OP05-043-0,Animal Kingdom Pirates
214,OP05-057-1,Navy
215,OP05-057-2,Navy
216,OP05-057-3,Navy
217,OP05-057-0,Navy
218,OP05-069-0,Heart Pirates
219,OP05-073-1,Baroque Works
220,OP05-073-2,Baroque Works
221,OP05-073-0,Baroque Works
222,OP05-074-4,Kid Pirates
223,OP05-074-0,Kid Pirates
224,OP05-081-1,Dressrosa
225,OP05-081-2,Dressrosa
226,OP05-081-3,Dressrosa
227,OP05-081-0,Dressrosa
228,OP05-082-1,Merfolk
229,OP05-082-2,Merfolk
230,OP05-082-3,Merfolk
231,OP05-082-0,Merfolk
232,OP05-105-1,Sky Island
233,OP05-105-1,Vassals
234,OP05-105-2,Sky Island
235,OP05-105-2,Vassals
236,OP05-105-3,Sky Island
237,OP05-105-3,Vassals
238,OP05-105-0,Sky Island
239,OP05-105-0,Vassals
240,OP05-114-2,Sky Island
241,OP05-114-3,Sky Island
242,OP05-114-0,Sky Island
243,OP05-115-1,Sky Island
244,OP05-115-2,Sky Island
245,OP05-115-3,Sky Island
246,OP05-115-0,Sky Island
247,OP05-117-1,Sky Island
248,OP05-117-2,Sky Island
249,OP05-117-3,Sky Island
250,OP05-117-0,Sky Island
251,OP05-118-2,The Four Emperors
252,OP05-118-2,Animal Kingdom Pirates
253,OP05-118-0,The Four Emperors
254,OP05-118-0,Animal Kingdom Pirates
255,OP05-119-3,The Four Emperors
256,OP05-119-3,Straw Hat Crew
257,OP05-119-0,The Four Emperors
258,OP05-119-0,Straw Hat Crew
259,OP06-003-1,Revolutionary Army
260,OP06-003-2,Revolutionary Army
261,OP06-003-0,Revolutionary Army
262,OP06-023-1,Fish-Man
263,OP06-023-1,East Blue
264,OP06-023-1,Arlong Pirates
265,OP06-023-2,Fish-Man
266,OP06-023-2,East Blue
267,OP06-023-2,Arlong Pirates
268,OP06-023-3,Fish-Man
269,OP06-023-3,East Blue
270,OP06-023-3,Arlong Pirates
271,OP06-023-0,Fish-Man
272,OP06-023-0,East Blue
273,OP06-023-0,Arlong Pirates
274,OP06-035-2,Fish-Man
275,OP06-035-2,New Fish-Man Pirates
276,OP06-035-0,Fish-Man
277,OP06-035-0,New Fish-Man Pirates
278,OP06-036-1,Land of Wano
279,OP06-036-1,Thriller Bark Pirates
280,OP06-036-2,Land of Wano
281,OP06-036-2,Thriller Bark Pirates
282,OP06-036-3,Land of Wano
283,OP06-036-3,Thriller Bark Pirates
284,OP06-036-0,Land of Wano
285,OP06-036-0,Thriller Bark Pirates
286,OP06-038-2,Dressrosa
287,OP06-038-2,Straw Hat Crew
288,OP06-038-3,Dressrosa
289,OP06-038-3,Straw Hat Crew
290,OP06-038-0,Dressrosa
291,OP06-038-0,Straw Hat Crew
292,OP06-056-1,Navy
293,OP06-056-2,Navy
294,OP06-056-0,Navy
295,OP06-060-1,The Vinsmoke Family
296,OP06-060-1,GERMA 66
297,OP06-060-2,The Vinsmoke Family
298,OP06-060-2,GERMA 66
299,OP06-060-0,The Vinsmoke Family
300,OP06-060-0,GERMA 66
301,OP06-064-1,The Vinsmoke Family
302,OP06-064-1,GERMA 66
303,OP06-064-2,The Vinsmoke Family
304,OP06-064-2,GERMA 66
305,OP06-064-0,The Vinsmoke Family
306,OP06-064-0,GERMA 66
307,OP06-065-1,The Vinsmoke Family
308,OP06-065-1,GERMA 66
309,OP06-065-2,The Vinsmoke Family
310,OP06-065-2,GERMA 66
311,OP06-065-3,The Vinsmoke Family
312,OP06-065-3,GERMA 66
313,OP06-065-0,The Vinsmoke Family
314,OP06-065-0,GERMA 66
315,OP06-066-1,The Vinsmoke Family
316,OP06-066-1,GERMA 66
317,OP06-066-2,The Vinsmoke Family
318,OP06-066-2,GERMA 66
319,OP06-066-0,The Vinsmoke Family
320,OP06-066-0,GERMA 66
321,OP06-067-1,The Vinsmoke Family
322,OP06-067-1,GERMA 66
323,OP06-067-2,The Vinsmoke Family
324,OP06-067-2,GERMA 66
325,OP06-067-3,The Vinsmoke Family
326,OP06-067-3,GERMA 66
327,OP06-067-0,The Vinsmoke Family
328,OP06-067-0,GERMA 66
329,OP06-068-1,The Vinsmoke Family
330,OP06-068-1,GERMA 66
331,OP06-068-2,The Vinsmoke Family
332,OP06-068-2,GERMA 66
333,OP06-068-0,The Vinsmoke Family
334,OP06-068-0,GERMA 66
335,OP06-069-3,The Vinsmoke Family
336,OP06-069-3,GERMA 66
337,OP06-069-0,The Vinsmoke Family
338,OP06-069-0,GERMA 66
339,OP06-079-1,Kingdom of GERMA
340,OP06-079-2,Kingdom of GERMA
341,OP06-079-3,Kingdom of GERMA
342,OP06-079-0,Kingdom of GERMA
343,OP06-086-2,The Seven Warlords of the Sea
344,OP06-086-2,Thriller Bark Pirates
345,OP06-086-0,The Seven Warlords of the Sea
346,OP06-086-0,Thriller Bark Pirates
347,OP06-091-1,Thriller Bark Pirates
348,OP06-091-2,Thriller Bark Pirates
349,OP06-091-0,Thriller Bark Pirates
350,OP06-100-1,Minks
351,OP06-100-1,Land of Wano
352,OP06-100-1,The Akazaya Nine
353,OP06-100-2,Minks
354,OP06-100-2,Land of Wano
355,OP06-100-2,The Akazaya Nine
356,OP06-100-0,Minks
357,OP06-100-0,Land of Wano
358,OP06-100-0,The Akazaya Nine
359,OP06-106-2,Land of Wano
360,OP06-106-2,Kouzuki Clan
361,OP06-106-0,Land of Wano
362,OP06-106-0,Kouzuki Clan
363,OP06-110-1,Minks
364,OP06-110-1,Land of Wano
365,OP06-110-1,The Akazaya Nine
366,OP06-110-2,Minks
367,OP06-110-2,Land of Wano
368,OP06-110-2,The Akazaya Nine
369,OP06-110-0,Minks
370,OP06-110-0,Land of Wano
371,OP06-110-0,The Akazaya Nine
372,OP06-114-1,Sky Island
373,OP06-114-1,Shandian Warrior
374,OP06-114-2,Sky Island
375,OP06-114-2,Shandian Warrior
376,OP06-114-0,Sky Island
377,OP06-114-0,Shandian Warrior
378,OP06-118-0,Straw Hat Crew
379,P-014-1,FILM
380,P-014-1,Navy
381,P-014-2,FILM
382,P-014-2,Navy
383,P-014-0,FILM
384,P-014-0,Navy
385,P-029-2,FILM
386,P-029-2,Supernovas
387,P-029-2,Barto Club
388,P-029-3,FILM
389,P-029-3,Supernovas
390,P-029-3,Barto Club
391,P-029-0,FILM
392,P-029-0,Supernovas
393,P-029-0,Barto Club
394,P-053-2,Straw Hat Crew
395,P-053-3,Straw Hat Crew
396,P-053-0,Straw Hat Crew
397,P-055-2,Straw Hat Crew
398,P-055-3,Straw Hat Crew
399,P-055-0,Straw Hat Crew
400,PRB01-001-0,Straw Hat Crew
401,PRB01-001-1,Straw Hat Crew
402,ST01-006-8,Animal
403,ST01-006-8,Straw Hat Crew
404,ST01-006-9,Animal
405,ST01-006-9,Straw Hat Crew
406,ST01-006-10,Animal
407,ST01-006-10,Straw Hat Crew
408,ST01-006-0,Animal
409,ST01-006-0,Straw Hat Crew
410,ST01-014-2,Animal
411,ST01-014-2,Straw Hat Crew
412,ST01-014-3,Animal
413,ST01-014-3,Straw Hat Crew
414,ST01-014-0,Animal
415,ST01-014-0,Straw Hat Crew
416,ST02-004-3,Supernovas
417,ST02-004-3,Firetank Pirates
418,ST02-004-4,Supernovas
419,ST02-004-4,Firetank Pirates
420,ST02-004-5,Supernovas
421,ST02-004-5,Firetank Pirates
422,ST02-004-0,Supernovas
423,ST02-004-0,Firetank Pirates
424,ST03-005-4,The Seven Warlords of the Sea
425,ST03-005-5,The Seven Warlords of the Sea
426,ST03-005-0,The Seven Warlords of the Sea
427,ST03-008-7,The Seven Warlords of the Sea
428,ST03-008-7,Heart Pirates
429,ST03-008-8,The Seven Warlords of the Sea
430,ST03-008-8,Heart Pirates
431,ST03-008-0,The Seven Warlords of the Sea
432,ST03-008-0,Heart Pirates
433,ST03-013-2,The Seven Warlords of the Sea
434,ST03-013-2,Kuja Pirates
435,ST03-013-3,The Seven Warlords of the Sea
436,ST03-013-3,Kuja Pirates
437,ST03-013-4,The Seven Warlords of the Sea
438,ST03-013-4,Kuja Pirates
439,ST03-013-0,The Seven Warlords of the Sea
440,ST03-013-0,Kuja Pirates
441,ST04-003-4,The Four Emperors
442,ST04-003-4,Animal Kingdom Pirates
443,ST04-003-0,The Four Emperors
444,ST04-003-0,Animal Kingdom Pirates
445,ST04-005-4,Animal Kingdom Pirates
446,ST04-005-5,Animal Kingdom Pirates
447,ST04-005-0,Animal Kingdom Pirates
448,ST04-016-3,The Four Emperors
449,ST04-016-3,Animal Kingdom Pirates
450,ST04-016-4,The Four Emperors
451,ST04-016-4,Animal Kingdom Pirates
452,ST04-016-0,The Four Emperors
453,ST04-016-0,Animal Kingdom Pirates
454,ST06-010-1,Navy
455,ST06-010-2,Navy
456,ST06-010-0,Navy
457,ST06-014-1,Navy
458,ST06-014-2,Navy
459,ST06-014-0,Navy
460,ST07-007-2,Big Mom Pirates
461,ST07-007-3,Big Mom Pirates
462,ST07-007-0,Big Mom Pirates
463,ST09-014-1,Land of Wano
464,ST09-014-2,Land of Wano
465,ST09-014-0,Land of Wano
466,ST10-010-3,Heart Pirates
467,ST10-010-0,Heart Pirates
468,ST12-014-1,The Flying Fish Riders
469,ST12-014-2,The Flying Fish Riders
470,ST12-014-0,The Flying Fish Riders
471,EB01-001-2,Land of Wano
472,EB01-001-2,Kouzuki Clan
473,EB01-021-2,Impel Down
474,EB01-040-2,Dressrosa
475,EB02-001-0,Animal
476,EB02-001-0,Alabasta
477,EB02-002-0,Dressrosa
478,EB02-002-0,Revolutionary Army
479,EB02-003-0,Animal
480,EB02-003-0,Drum Kingdom
481,EB02-003-0,Straw Hat Crew
482,EB02-003-1,Animal
483,EB02-003-1,Drum Kingdom
484,EB02-003-1,Straw Hat Crew
485,EB02-004-0,Accino Family
486,EB02-005-0,Fake Straw Hat Crew
487,EB02-006-0,Land of Wano
488,EB02-006-1,Land of Wano
489,EB02-007-0,Animal
490,EB02-007-0,Water Seven
491,EB02-007-0,Straw Hat Crew
492,EB02-008-0,Music
493,EB02-009-0,Straw Hat Crew
494,EB02-010-0,Straw Hat Crew
495,EB02-010-1,Straw Hat Crew
496,EB02-011-0,Fish-Man
497,EB02-011-0,East Blue
498,EB02-011-0,Arlong Pirates
499,EB02-011-1,Fish-Man
500,EB02-011-1,East Blue
501,EB02-011-1,Arlong Pirates
502,EB02-012-0,East Blue
503,EB02-013-0,Minks
504,EB02-014-0,East Blue
505,EB02-015-0,Supernovas
506,EB02-015-0,Bonney Pirates
507,EB02-015-1,Supernovas
508,EB02-015-1,Bonney Pirates
509,EB02-016-0,Animal
510,EB02-016-0,Straw Hat Crew
511,EB02-017-0,East Blue
512,EB02-017-0,Straw Hat Crew
513,EB02-017-1,East Blue
514,EB02-017-1,Straw Hat Crew
515,EB02-018-0,East Blue
516,EB02-018-0,Buggy Pirates
517,EB02-019-0,East Blue
518,EB02-019-0,Straw Hat Crew
519,EB02-020-0,Music
520,EB02-021-0,Water Seven
521,EB02-021-0,Straw Hat Crew
522,EB02-022-0,East Blue
523,EB02-022-0,Straw Hat Crew
524,EB02-022-1,East Blue
525,EB02-022-1,Straw Hat Crew
526,EB02-023-0,The Seven Warlords of the Sea
527,EB02-023-0,Baroque Works
528,EB02-024-0,Sniper Island
529,EB02-025-0,Navy
530,EB02-025-0,Donquixote Pirates
531,EB02-026-0,Alabasta
532,EB02-026-1,Alabasta
533,EB02-027-0,Whitebeard Pirates
534,EB02-028-0,Alabasta
535,EB02-028-0,Whitebeard Pirates
536,EB02-029-0,Animal
537,EB02-029-0,East Blue
538,EB02-030-0,Alabasta
539,EB02-030-0,Straw Hat Crew
540,EB02-031-0,Music
541,EB02-032-0,Water Seven
542,EB02-032-0,Galley-La Company
543,EB02-033-0,Sprite
544,EB02-034-0,Navy
545,EB02-034-0,Foxy Pirates
546,EB02-035-0,Big Mom Pirates
547,EB02-035-0,Straw Hat Crew
548,EB02-035-1,Big Mom Pirates
549,EB02-035-1,Straw Hat Crew
550,EB02-036-0,Straw Hat Crew
551,EB02-036-1,Straw Hat Crew
552,EB02-037-0,Water Seven
553,EB02-037-0,Straw Hat Crew
554,EB02-038-0,Impel Down
555,EB02-039-0,The Vinsmoke Family
556,EB02-039-0,GERMA 66
557,EB02-040-0,Music
558,EB02-041-0,Straw Hat Crew
559,EB02-042-0,Navy
560,EB02-043-0,Navy
561,EB02-044-0,Navy
562,EB02-044-1,Navy
563,EB02-045-0,Dressrosa
564,EB02-045-0,Supernovas
565,EB02-045-0,Heart Pirates
566,EB02-045-1,Dressrosa
567,EB02-045-1,Supernovas
568,EB02-045-1,Heart Pirates
569,EB02-046-0,Thriller Bark Pirates
570,EB02-047-0,CP9
571,EB02-048-0,Straw Hat Crew
572,EB02-048-1,Straw Hat Crew
573,EB02-049-0,Navy
574,EB02-050-0,Music
575,EB02-051-0,Former Rumbar Pirates
576,EB02-052-0,Sky Island
577,EB02-052-1,Sky Island
578,EB02-053-0,Alchemi
579,EB02-054-0,East Blue
580,EB02-054-0,Straw Hat Crew
581,EB02-054-1,East Blue
582,EB02-054-1,Straw Hat Crew
583,EB02-055-0,Fish-Man
584,EB02-055-0,Straw Hat Crew
585,EB02-056-0,Scientist
586,EB02-056-0,Egghead
587,EB02-056-1,Scientist
588,EB02-056-1,Egghead
589,EB02-057-0,Treasure Pirates
590,EB02-058-0,Music
591,EB02-059-0,Straw Hat Crew
592,EB02-060-0,Straw Hat Crew
593,EB02-061-0,Water Seven
594,EB02-061-0,Straw Hat Crew
595,EB02-061-1,Water Seven
596,EB02-061-1,Straw Hat Crew
597,EB02-061-2,Water Seven
598,EB02-061-2,Straw Hat Crew
599,OP05-001-2,Revolutionary Army
600,OP05-002-2,Revolutionary Army
601,OP05-022-2,Navy
602,OP05-022-2,Donquixote Pirates
603,OP05-060-4,Straw Hat Crew
604,OP05-098-3,Sky Island
605,OP06-001-2,FILM
606,OP06-020-2,Fish-Man
607,OP06-020-2,New Fish-Man Pirates
608,OP06-021-2,Thriller Bark Pirates
609,OP06-022-2,Land of Wano
610,OP06-042-2,The Vinsmoke Family
611,OP06-042-2,GERMA 66
612,OP06-080-2,The Seven Warlords of the Sea
613,OP06-080-2,Thriller Bark Pirates
614,OP07-001-2,Revolutionary Army
615,OP07-019-2,Supernovas
616,OP07-019-2,Bonney Pirates
617,OP07-038-2,The Seven Warlords of the Sea
618,OP07-038-2,Kuja Pirates
619,OP07-059-2,Foxy Pirates
620,OP07-079-2,CP0
621,OP07-097-2,Scientist
622,OP07-097-2,Egghead
623,OP08-001-2,Animal
624,OP08-001-2,Drum Kingdom
625,OP08-001-2,Straw Hat Crew
626,OP08-002-2,Whitebeard Pirates
627,OP08-021-2,Minks
628,OP08-057-2,Animal Kingdom Pirates
629,OP08-058-2,Big Mom Pirates
630,OP08-098-2,Jaya
631,OP08-098-2,Sky Island
632,OP08-098-2,Shandian Warrior
633,EB01-001-0,Land of Wano
634,EB01-001-0,Kouzuki Clan
635,EB01-001-1,Land of Wano
636,EB01-001-1,Kouzuki Clan
637,EB01-002-0,Land of Wano
638,EB01-002-0,Whitebeard Pirates
639,EB01-003-0,Supernovas
640,EB01-003-0,Kid Pirates
641,EB01-003-1,Supernovas
642,EB01-003-1,Kid Pirates
643,EB01-004-0,Alabasta
644,EB01-005-0,Whitebeard Pirates Allies
645,EB01-006-1,Animal
646,EB01-006-1,Straw Hat Crew
647,EB01-006-2,Animal
648,EB01-006-2,Straw Hat Crew
649,EB01-007-0,Land of Wano
650,EB01-008-0,Giant
651,EB01-008-0,Whitebeard Pirates Allies
652,EB01-009-0,Drum Kingdom
653,EB01-009-0,Straw Hat Crew
654,EB01-010-0,Water Seven
655,EB01-010-0,Straw Hat Crew
656,EB01-011-0,Straw Hat Crew
657,EB01-012-0,Supernovas
658,EB01-012-0,Beautiful Pirates
659,EB01-012-1,Supernovas
660,EB01-012-1,Beautiful Pirates
661,EB01-013-0,Land of Wano
662,EB01-013-0,Kouzuki Clan
663,EB01-013-1,Land of Wano
664,EB01-013-1,Kouzuki Clan
665,EB01-014-0,FILM
666,EB01-014-0,Straw Hat Crew
667,EB01-015-0,Supernovas
668,EB01-015-0,On-Air Pirates
669,EB01-016-0,Land of Wano
670,EB01-017-0,FILM
671,EB01-017-0,CP0
672,EB01-018-0,Animal
673,EB01-018-0,Land of Wano
674,EB01-019-0,The Seven Warlords of the Sea
675,EB01-019-0,Donquixote Pirates
676,EB01-020-0,Supernovas
677,EB01-020-0,Heart Pirates
678,EB01-021-0,Impel Down
679,EB01-021-1,Impel Down
680,EB01-022-0,Impel Down
681,EB01-022-0,Revolutionary Army
682,EB01-022-1,Impel Down
683,EB01-022-1,Revolutionary Army
684,EB01-023-0,The Seven Warlords of the Sea
685,EB01-024-0,Animal Kingdom Pirates
686,EB01-024-0,SMILE
687,EB01-025-0,Animal Kingdom Pirates
688,EB01-025-0,SMILE
689,EB01-026-0,Impel Down
690,EB01-027-0,Baroque Works
691,EB01-027-1,Baroque Works
692,EB01-028-0,Impel Down
693,EB01-028-0,Straw Hat Crew
694,EB01-029-0,East Blue
695,EB01-029-0,Straw Hat Crew
696,EB01-030-0,East Blue
697,EB01-031-0,Water Seven
698,EB01-031-0,Galley-La Company
699,EB01-031-1,Water Seven
700,EB01-031-1,Galley-La Company
701,EB01-032-0,Animal
702,EB01-032-0,Impel Down
703,EB01-033-0,Water Seven
704,EB01-034-0,Baroque Works
705,EB01-034-1,Baroque Works
706,EB01-035-0,Baroque Works
707,EB01-036-0,Impel Down
708,EB01-036-0,Jailer Beast
709,EB01-037-0,Baroque Works
710,EB01-038-0,Baroque Works
711,EB01-039-0,The Four Emperors
712,EB01-039-0,Animal Kingdom Pirates
713,EB01-040-0,Dressrosa
714,EB01-040-1,Dressrosa
715,EB01-041-0,Former Roger Pirates
716,EB01-042-0,Dressrosa
717,EB01-043-0,CP9
718,EB01-044-0,CP9
719,EB01-045-0,Rumbar Pirates
720,EB01-046-0,Straw Hat Crew
721,EB01-046-1,Straw Hat Crew
722,EB01-047-0,Animal
723,EB01-048-0,Animal
724,EB01-048-1,Animal
725,EB01-049-0,Water Seven
726,EB01-049-0,Navy
727,EB01-049-1,Water Seven
728,EB01-049-1,Navy
729,EB01-050-0,Straw Hat Crew
730,EB01-051-0,CP9
731,EB01-052-0,Dressrosa
732,EB01-052-1,Dressrosa
733,EB01-053-0,Scientist
734,EB01-054-0,Sky Island
735,EB01-055-0,Big Mom Pirates
736,EB01-056-0,Big Mom Pirates
737,EB01-056-1,Big Mom Pirates
738,EB01-057-0,Merfolk
739,EB01-057-1,Merfolk
740,EB01-058-0,Monkey Mountain Alliance
741,EB01-059-0,Sky Island
742,EB01-060-0,Sky Island
743,EB01-061-0,Former Baroque Works
744,EB01-061-1,Former Baroque Works
745,OP12-001-0,Former Roger Pirates
746,OP12-001-1,Former Roger Pirates
747,OP12-002-0,Whitebeard Pirates
748,OP12-003-0,Former Roger Pirates
749,OP12-004-0,Land of Wano
750,OP12-004-0,Kouzuki Clan
751,OP12-004-0,Roger Pirates
752,OP12-005-0,FILM
753,OP12-005-0,Golden Lion Pirates
754,OP12-006-0,Amazon Lily
755,OP12-007-0,Roger Pirates
756,OP12-008-0,The Four Emperors
757,OP12-008-0,Red-Haired Pirates
758,OP12-008-1,The Four Emperors
759,OP12-008-1,Red-Haired Pirates
760,OP12-009-0,Fish-Man
761,OP12-009-0,The Sun Pirates
762,OP12-010-0,FILM
763,OP12-010-0,The Pirates Fest
764,OP12-010-0,Former Roger Pirates
765,OP12-011-0,The Flying Fish Riders
766,OP12-012-0,Roger Pirates
767,OP12-013-0,Fish-Man
768,OP12-013-0,Former Arlong Pirates
769,OP12-014-0,The Seven Warlords of the Sea
770,OP12-014-0,Kuja Pirates
771,OP12-014-1,The Seven Warlords of the Sea
772,OP12-014-1,Kuja Pirates
773,OP12-015-0,Supernovas
774,OP12-015-0,Straw Hat Crew
775,OP12-015-1,Supernovas
776,OP12-015-1,Straw Hat Crew
777,OP12-016-0,Former Roger Pirates
778,OP12-017-0,Former Roger Pirates
